imo_num,pos_speed,pos_lat,pos_lon,pos_navState
5102865,14,46.6481,-86.82397,0
5277062,13,47.19418333,-86.27296333,0
8404276,9.7,28.095305,-85.95954,0
7366398,0,45.96921,-85.87180333,0
7329314,0,45.942045,-85.88398,1
8119261,8.7,46.48651,-84.436175,0
7502320,8,46.495,-84.42,0
8810918,0,46.50071,-84.378055,0
7923196,9,46.49666667,-84.60333333,15
7390260,0.7,46.50311333,-84.338365,0
8505850,8.3,46.34324333,-84.21355833,0
8504882,10.5,46.47401833,-84.57580833,0
7620653,7,41.895,-83.00666667,0
5128467,0,42.29666667,-83.08333333,0
7225855,0.1,42.263155,-83.10555,0
7514701,0.2,42.2796,-83.10691667,0
7318901,12.9,45.14789167,-83.09952167,0
8505848,14,45.20280167,-83.14835333,0
7914236,0,45.3,-83.415,0
7514684,11,45.23833333,-83.085,0
6918716,0,45.29666667,-83.42166667,5
7915412,0,27.90336667,-82.43133333,5
8802014,7.4,27.635445,-82.56526333,5
7390210,3,41.54833333,-82.72833333,0
7606061,9,42.40333333,-82.84166667,0
5173876,10.4,42.906185,-82.46334667,0
8816168,16,-2.277585,-81.12514833,0
5206362,0,41.49666667,-81.70666667,0
7634226,0.1,41.49683167,-81.72286167,0
7510834,10.2,45.087715,-81.78588333,0
8302894,19.7,-41.795865,-80.42481167,0
8666159,0,-0.93700833,-80.72224667,0
8716899,0,25.778199999999998,-80.17261667,5
8716502,0,26.77,-80.05166667,5
7812567,0.1,41.90728,-80.794245,0
7222138,0,41.97166667,-80.54833333,8
7343607,0,44.57,-80.94333333,5
6804848,8.9,44.92688667,-80.105945,0
8917778,0,-2.252585,-79.92735,5
8911085,0.1,8.86766667,-79.51483333,0
8920141,0.1,8.83873167,-79.53339,1
8819304,0.3,8.82446167,-79.52775667,1
8401145,0.8,9.37316667,-79.938,1
8311106,0.5,9.3833,-79.91211667,1
8912120,0,19.56666667,-79.03166667,15
7821154,10,27.01666667,-79.83833333,0
7816551,11.8,27.08042667,-79.947195,0
8919934,14.1,32.684185,-79.72948667,0
7714636,0,32.86166667,-79.96333333,5
7027576,0,32.85,-79.94,5
8711344,0,32.78084,-79.923375,5
7926162,0,32.825,-79.93166667,5
7128423,6.1,42.92619333,-79.24033833,5
7726677,12.3,43.34941,-79.01594,0
7366403,0,43.48379333,-79.60912,0
7324405,0,43.13215167,-79.19292667,0
7423108,0,43.22687167,-79.21732,0
8911102,0.2,-9.10493833,-78.59976833,1
8711356,0,26.52045,-78.76883333,5
8314134,0,26.52006333,-78.77465,5
8705333,0,-12.01664333,-77.20782167,1
8618293,8,-12.043765,-77.20659833,0
8900323,18,16.48593333,-77.14550667,0
7361922,0,17.845,-77.11714667,5
8914829,0,18.459675,-77.93609,5
8819512,0,25.08,-77.34166667,5
8802002,16.1,30.32875667,-77.77702667,0
7711737,12.7,43.73870167,-77.14206667,0
8819500,17.2,14.72057333,-76.03951167,0
6916433,0.1,36.97370667,-76.43606833,5
7616377,0,36.85344,-76.31084667,0
7530810,0,36.85324,-76.31051667,5
7390478,0,36.95666667,-76.32833333,5
7530808,0,36.85379667,-76.31117667,5
8900866,0,37.29166667,-76.585,5
7826178,0,39.26255167,-76.60274333,5
7739856,0,39.87484833,-75.209905,5
7711725,0.1,44.68931667,-75.52338333,1
8917871,12.9,-49.77983333,-74.35676667,0
8507391,2.3,11.11082833,-74.85342333,0
8813635,1,18.945,-74.63,0
8006385,10,44.99333333,-74.72666667,0
